date,price
2020-12-23,2.5600
2021-01-28,2.0771
2021-03-04,2.2713
2021-10-27,3.0209
2021-12-20,2.7270
2022-01-30,3.2337
2022-03-14,5.1460
2022-03-28,4.7211
2022-03-29,4.7048
2022-03-30,4.3736
2022-04-01,4.2937
2022-04-02,4.2937
2022-04-03,4.2937
2022-04-26,4.6663
2022-07-29,4.3300
2022-08-01,4.3015
2022-08-02,4.2367
2022-08-11,3.9165
2022-08-17,4.0105
2022-08-18,4.0504
2022-08-25,4.3746
2022-08-28,4.5459
2022-08-29,4.0040
2022-08-29,4.4693
2022-09-02,4.3576
2022-09-09,4.2762
2022-09-11,4.2762
2022-09-13,4.2489
2022-09-14,4.2733
2022-09-15,4.2115
2022-09-16,4.0491
2022-09-21,3.9360
2022-09-22,4.0074
2022-09-23,3.9690
2022-09-27,3.8648
2022-09-28,3.7518
2022-09-29,3.9126
2022-09-30,4.1021
2022-10-03,4.0998
2022-10-04,4.0278
2022-10-06,4.4260
2022-10-07,4.5621
2022-10-12,5.0349
2022-10-13,5.1210
2022-10-14,5.2480
2022-10-17,5.5225
2022-10-18,5.4829
2022-10-19,5.6879
2022-10-20,5.4812
2022-10-21,5.3170
2022-10-24,5.0495
2022-10-25,5.1550
2022-10-26,5.0978
2022-10-27,5.0124
2022-10-28,5.1503
2022-10-31,5.3391
2022-11-01,5.4800
2022-11-02,5.3643
2022-11-03,5.3013
2022-11-04,5.2526
2022-11-07,5.5855
2022-11-08,5.7600
2022-11-09,5.5313
2022-11-11,5.6215
2022-11-14,5.3271
2022-11-15,4.9855
2022-11-17,4.6965
2022-11-18,4.6538
2022-11-21,4.4800
2022-11-22,4.3383
2022-11-23,4.2087
2022-11-24,4.2039
2022-11-27,4.0069
2022-11-28,4.5228
2022-11-28,4.0069
2022-11-30,3.8530
2022-12-02,4.0061
2022-12-09,3.4156
2022-12-12,3.5249
2022-12-16,3.2980
2022-12-19,3.9036
2022-12-20,3.7351
2022-12-21,3.6737
2022-12-23,3.7597
2022-12-29,4.0164
2022-12-30,4.0630
2023-01-02,3.9957
2023-01-03,3.9957
2023-01-04,4.0077
2023-01-06,3.7792
2023-01-09,3.6475
2023-01-10,3.6475
2023-01-11,3.7037
2023-01-12,3.7984
2023-01-13,3.8706
2023-01-14,3.8706
2023-01-15,3.8706
2023-01-16,3.8706
2023-01-17,3.8717
2023-01-18,3.9123
2023-01-19,3.8861
2023-01-20,3.8981
2023-01-21,3.8981
2023-01-22,3.8981
2023-01-23,3.8981
2023-01-24,4.0919
2023-01-27,3.9514
2023-01-28,3.9816
2023-01-31,3.8481
2023-02-01,3.6934
2023-02-03,3.5987
2023-02-04,3.5987
2023-02-05,3.5987
2023-02-06,3.5493
2023-02-07,3.4204
2023-02-08,3.4113
2023-02-09,3.4113
2023-02-10,3.5259
2023-02-11,3.5259
2023-02-12,3.5259
2023-02-13,3.4355
2023-02-14,3.4355
2023-02-15,3.5033
2023-02-16,3.5352
2023-02-17,3.4295
2023-02-18,3.4295
2023-02-19,3.4295
2023-02-20,3.4295
2023-02-21,3.2972
2023-02-22,3.2972
2023-02-23,3.377
2023-02-24,3.2899
2023-02-25,3.2899
2023-02-26,3.2899
2023-02-27,3.287
2023-02-28,3.3838
2023-03-01,3.3838
2023-03-02,3.4107
2023-03-14,3.4204
2023-03-15,3.414
2023-03-16,3.3819
2023-03-17,3.2774
2023-03-18,3.2774
2023-03-19,3.2774
2023-03-20,3.2774
2023-03-21,3.3462
2023-03-22,3.3462
2023-03-23,3.3302
2023-03-24,3.3753
2023-03-25,3.3753
2023-03-26,3.3753
2023-03-27,3.3172
2023-03-28,3.3252
2023-03-29,3.3754
2023-03-30,3.3596
2023-03-31,3.2431
2023-04-01,3.2431
2023-04-02,3.2431
2023-04-03,3.2125
2023-04-04,3.2656
2023-04-05,3.2656
2023-04-06,3.3126
2023-04-07,3.2742
2023-04-08,3.2742
2023-04-09,3.2742
2023-04-10,3.2943
2023-04-11,3.2943
2023-04-12,3.3064
2023-04-13,3.2932
2023-04-14,3.3281
2023-04-15,3.3281
2023-04-16,3.3281
2023-04-17,3.2978
2023-04-18,3.2542
2023-04-19,3.2322
2023-04-20,3.2174
2023-04-21,3.2174
2023-04-22,3.1402
2023-04-23,3.1402
2023-04-24,3.1402
2023-04-25,3.0711
2023-04-26,3.0711
2023-04-27,3.0174
2023-04-28,2.9355
2023-04-29,2.9355
2023-04-30,2.9355
2023-05-01,2.9217
2023-05-02,2.9446
2023-05-03,2.9723
2023-05-04,2.8692
2023-05-05,2.8148
2023-05-06,2.8148
2023-05-07,2.8148
2023-05-08,2.8237
2023-05-09,2.8997
2023-05-10,2.9627
2023-05-11,2.9627
2023-05-12,2.9659
2023-05-13,2.9659
2023-05-14,2.9659
2023-05-15,2.9659
2023-05-16,2.9659
2023-05-17,2.9505
2023-05-18,2.9364
2023-05-19,2.9951
2023-05-20,2.9951
2023-05-21,2.9951
2023-05-22,2.9951
2023-05-23,2.9322
2023-05-24,2.9339
2023-05-25,2.9305
2023-05-26,2.9837
2023-05-27,2.9837
2023-05-28,2.9837
2023-05-29,2.9837
2023-05-30,2.9368
2023-05-31,2.9368
2023-06-01,3.0217
2023-06-02,3.0217
2023-06-03,3.0217
2023-06-04,3.0217
2023-06-05,3.018
2023-06-06,2.9324
2023-06-07,2.953
2023-06-08,2.953
2023-06-09,2.9828
2023-06-10,2.9828
2023-06-11,2.9828
2023-06-12,2.9783
2023-06-13,2.9495
2023-06-14,2.9126
2023-06-15,2.9965
2023-06-16,2.9512
2023-06-17,2.9512
2023-06-18,2.9512
2023-06-19,2.9512
2023-06-20,3.1374
2023-06-21,3.1374
2023-06-22,3.0689
2023-06-23,3.1827
2023-06-24,3.1827
2023-06-25,3.1827
2023-06-26,3.084
2023-06-27,2.9956
2023-06-28,3.0236
2023-06-30,2.9777
2023-07-01,2.9777
2023-07-02,2.9777
2023-07-03,2.9777
2023-07-04,2.9777
2023-07-05,3.0061
2023-07-06,3.0061
2023-07-07,3.0468
2023-07-08,3.0468
2023-07-09,3.0468
2023-07-10,3.0468
2023-07-11,3.0304
2023-07-12,3.1017
2023-07-13,3.1322
2023-07-14,3.1322
2023-07-15,3.1331
